               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 131,            0.047182,            0.062253,                   0,             0.66722,             0.52144,             0.55698,             0.21841,            0.053139,            0.053342,                   0,           0.0004565,           0.0004565,           0.0004565
                 132,            0.048819,            0.060475,                   0,             0.60529,             0.56238,             0.55709,             0.21775,            0.053306,            0.053327,                   0,          0.00045155,          0.00045155,          0.00045155
                 133,            0.048106,            0.064963,                   0,             0.63178,             0.54776,             0.56256,             0.22102,             0.05302,            0.053066,                   0,           0.0004466,           0.0004466,           0.0004466
                 134,            0.047785,            0.055257,                   0,             0.64376,             0.54954,             0.56282,             0.21865,            0.052989,            0.053074,                   0,          0.00044165,          0.00044165,          0.00044165
                 135,            0.046945,            0.057981,                   0,             0.64052,             0.55068,             0.56133,             0.21484,            0.053205,            0.053321,                   0,           0.0004367,           0.0004367,           0.0004367
                 136,            0.046379,             0.06078,                   0,             0.65844,             0.53411,             0.55368,             0.21628,            0.053118,            0.053272,                   0,          0.00043175,          0.00043175,          0.00043175
                 137,            0.047304,            0.061008,                   0,             0.64599,             0.52924,             0.54735,             0.21595,            0.053222,            0.053506,                   0,           0.0004268,           0.0004268,           0.0004268
                 138,            0.047024,            0.058441,                   0,               0.643,             0.53542,             0.54899,             0.21249,            0.053797,             0.05354,                   0,          0.00042185,          0.00042185,          0.00042185
                 139,             0.04531,            0.060953,                   0,              0.6522,             0.53411,             0.55749,             0.21881,            0.053268,            0.053728,                   0,           0.0004169,           0.0004169,           0.0004169
                 140,            0.047298,            0.062084,                   0,             0.63925,              0.5544,             0.56426,             0.22392,            0.053222,            0.053879,                   0,          0.00041195,          0.00041195,          0.00041195
                 141,            0.047727,            0.067348,                   0,             0.62883,             0.53501,             0.54476,             0.21404,            0.053643,            0.053715,                   0,            0.000407,            0.000407,            0.000407
                 142,            0.047483,            0.063131,                   0,             0.63124,             0.53509,             0.54946,             0.21877,            0.053017,             0.05372,                   0,          0.00040205,          0.00040205,          0.00040205
                 143,            0.046841,            0.061945,                   0,              0.6314,             0.52534,             0.54457,             0.21613,             0.05324,            0.053752,                   0,           0.0003971,           0.0003971,           0.0003971
                 144,            0.047844,            0.060598,                   0,             0.64823,             0.52924,             0.54408,             0.21624,             0.05343,            0.053938,                   0,          0.00039215,          0.00039215,          0.00039215
                 145,            0.046422,            0.061761,                   0,             0.63355,             0.53509,             0.54552,             0.21515,            0.053456,            0.053814,                   0,           0.0003872,           0.0003872,           0.0003872
                 146,            0.047209,            0.058173,                   0,             0.63858,             0.53216,             0.54817,             0.21717,            0.053187,            0.053371,                   0,          0.00038225,          0.00038225,          0.00038225
                 147,            0.047602,            0.059061,                   0,             0.63733,             0.53314,             0.54817,             0.21856,            0.053389,            0.053555,                   0,           0.0003773,           0.0003773,           0.0003773
                 148,            0.045674,            0.054742,                   0,             0.64897,             0.54483,             0.56241,             0.22319,            0.052833,            0.053666,                   0,          0.00037235,          0.00037235,          0.00037235
                 149,            0.047617,            0.067061,                   0,             0.62024,             0.53119,             0.53615,             0.21113,            0.053895,             0.05398,                   0,           0.0003674,           0.0003674,           0.0003674
                 150,            0.045833,            0.059759,                   0,             0.64743,             0.53996,             0.55873,             0.21831,            0.053229,            0.053488,                   0,          0.00036245,          0.00036245,          0.00036245
                 151,            0.046246,            0.058218,                   0,             0.63955,             0.53784,              0.5539,             0.21891,            0.053306,            0.053491,                   0,           0.0003575,           0.0003575,           0.0003575
                 152,            0.046872,            0.057812,                   0,             0.64948,             0.54483,             0.55999,             0.21903,            0.053129,            0.053448,                   0,          0.00035255,          0.00035255,          0.00035255
                 153,            0.047009,             0.06135,                   0,             0.63244,             0.55458,             0.55642,             0.21917,            0.053339,            0.053506,                   0,           0.0003476,           0.0003476,           0.0003476
